userId,ISBN,bookRating,bookTitle,user,books
276747,60517794,4.5,Little Altars Everywhere,0,966
278843,60517794,3.5,Little Altars Everywhere,1,966
4017,60517794,5,Little Altars Everywhere,2,966
8961,60517794,4,Little Altars Everywhere,3,966
21788,60517794,4.5,Little Altars Everywhere,4,966
26883,60517794,3.5,Little Altars Everywhere,5,966
34987,60517794,4,Little Altars Everywhere,6,966
37227,60517794,5,Little Altars Everywhere,7,966
52584,60517794,4,Little Altars Everywhere,8,966
86548,60517794,5,Little Altars Everywhere,9,966
88123,60517794,4.5,Little Altars Everywhere,10,966
96357,60517794,2.5,Little Altars Everywhere,11,966
110382,60517794,4,Little Altars Everywhere,12,966
135149,60517794,3.5,Little Altars Everywhere,13,966
147528,60517794,4.5,Little Altars Everywhere,14,966
158583,60517794,3,Little Altars Everywhere,15,966
163467,60517794,3.5,Little Altars Everywhere,16,966
164323,60517794,3,Little Altars Everywhere,17,966
164956,60517794,2.5,Little Altars Everywhere,18,966
201697,60517794,4.5,Little Altars Everywhere,19,966
202277,60517794,4,Little Altars Everywhere,20,966
208287,60517794,4,Little Altars Everywhere,21,966
224220,60517794,3.5,Little Altars Everywhere,22,966
231838,60517794,4,Little Altars Everywhere,23,966
237776,60517794,5,Little Altars Everywhere,24,966
246634,60517794,4,Little Altars Everywhere,25,966
249228,60517794,5,Little Altars Everywhere,26,966
249746,60517794,3.5,Little Altars Everywhere,27,966
276747,679776818,4,Birdsong: A Novel of Love and War,0,265
6073,679776818,4.5,Birdsong: A Novel of Love and War,28,265
11676,679776818,4,Birdsong: A Novel of Love and War,29,265
13947,679776818,5,Birdsong: A Novel of Love and War,30,265
30511,679776818,3.5,Birdsong: A Novel of Love and War,31,265
62464,679776818,3,Birdsong: A Novel of Love and War,32,265
84537,679776818,2.5,Birdsong: A Novel of Love and War,33,265
92853,679776818,4.5,Birdsong: A Novel of Love and War,34,265
121596,679776818,4,Birdsong: A Novel of Love and War,35,265
139462,679776818,2.5,Birdsong: A Novel of Love and War,36,265
142479,679776818,5,Birdsong: A Novel of Love and War,37,265
159854,679776818,4,Birdsong: A Novel of Love and War,38,265
182676,679776818,4,Birdsong: A Novel of Love and War,39,265
186848,679776818,4,Birdsong: A Novel of Love and War,40,265
208570,679776818,4,Birdsong: A Novel of Love and War,41,265
221655,679776818,3.5,Birdsong: A Novel of Love and War,42,265
225986,679776818,4.5,Birdsong: A Novel of Love and War,43,265
226950,679776818,3,Birdsong: A Novel of Love and War,44,265
226965,679776818,2.5,Birdsong: A Novel of Love and War,45,265
234288,679776818,3.5,Birdsong: A Novel of Love and War,46,265
276755,451166892,2.5,The Pillars of the Earth,47,25
99,451166892,1.5,The Pillars of the Earth,48,25
5268,451166892,5,The Pillars of the Earth,49,25
9652,451166892,4.5,The Pillars of the Earth,50,25
11629,451166892,4,The Pillars of the Earth,51,25
16634,451166892,5,The Pillars of the Earth,52,25
16782,451166892,5,The Pillars of the Earth,53,25
21404,451166892,4,The Pillars of the Earth,54,25
22625,451166892,4.5,The Pillars of the Earth,55,25
28204,451166892,5,The Pillars of the Earth,56,25
33179,451166892,5,The Pillars of the Earth,57,25
34222,451166892,4.5,The Pillars of the Earth,58,25
38281,451166892,4,The Pillars of the Earth,59,25
48025,451166892,4.5,The Pillars of the Earth,60,25
55075,451166892,5,The Pillars of the Earth,61,25
59712,451166892,5,The Pillars of the Earth,62,25
66591,451166892,5,The Pillars of the Earth,63,25
67515,451166892,2.5,The Pillars of the Earth,64,25
68156,451166892,5,The Pillars of the Earth,65,25
74208,451166892,4.5,The Pillars of the Earth,66,25
78783,451166892,5,The Pillars of the Earth,67,25
79942,451166892,5,The Pillars of the Earth,68,25
81394,451166892,4,The Pillars of the Earth,69,25
82102,451166892,5,The Pillars of the Earth,70,25
86145,451166892,3.5,The Pillars of the Earth,71,25
87141,451166892,4,The Pillars of the Earth,72,25
93179,451166892,4.5,The Pillars of the Earth,73,25
94985,451166892,4,The Pillars of the Earth,74,25
95921,451166892,4,The Pillars of the Earth,75,25
96634,451166892,4,The Pillars of the Earth,76,25
103377,451166892,4,The Pillars of the Earth,77,25
106225,451166892,5,The Pillars of the Earth,78,25
114089,451166892,4,The Pillars of the Earth,79,25
114216,451166892,5,The Pillars of the Earth,80,25
114988,451166892,3.5,The Pillars of the Earth,81,25
120082,451166892,3,The Pillars of the Earth,82,25
120350,451166892,5,The Pillars of the Earth,83,25
125878,451166892,5,The Pillars of the Earth,84,25
126296,451166892,4.5,The Pillars of the Earth,85,25
132303,451166892,4.5,The Pillars of the Earth,86,25
133935,451166892,3,The Pillars of the Earth,87,25
135776,451166892,3.5,The Pillars of the Earth,88,25
138139,451166892,3.5,The Pillars of the Earth,89,25
140294,451166892,3.5,The Pillars of the Earth,90,25
141210,451166892,4,The Pillars of the Earth,91,25
142121,451166892,5,The Pillars of the Earth,92,25
149908,451166892,4,The Pillars of the Earth,93,25
155117,451166892,3.5,The Pillars of the Earth,94,25
156150,451166892,5,The Pillars of the Earth,95,25
163851,451166892,4.5,The Pillars of the Earth,96,25
164675,451166892,4,The Pillars of the Earth,97,25
170154,451166892,4.5,The Pillars of the Earth,98,25
172096,451166892,3.5,The Pillars of the Earth,99,25
172512,451166892,4.5,The Pillars of the Earth,100,25
172539,451166892,4.5,The Pillars of the Earth,101,25
172742,451166892,4,The Pillars of the Earth,102,25
178254,451166892,4.5,The Pillars of the Earth,103,25
